Key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
AA,0,165,4226,5723,3258,5624,6115,8426,11811,12161,14057,16648,17625,17910,18309,17781,16657,15084,13176,11434,9164,7705,6223,5055,3995,3133,2397,1775,1392,941,666,538,333,233,362
AG,2,322,8443,11446,6604,11280,12209,16727,23799,24177,28488,33844,35042,35652,37066,35614,33454,30269,26446,22811,18712,15586,12366,10095,7965,6362,5166,3928,3101,2262,1684,1260,876,626,1397
AS,0,266,9939,12671,6593,11269,12003,16901,23769,24383,28357,33741,35647,35651,36853,35485,33169,29927,26237,22527,18712,15487,12438,10165,7690,6278,4933,3709,2971,2059,1485,1121,756,512,992
AN,1,270,9117,12597,7287,11181,12019,16624,23589,24241,28346,34083,34957,35772,37120,35464,33280,30576,26443,22810,18858,15454,12398,10058,7930,6375,5225,4011,3016,2167,1527,1230,797,600,1208
AD,2,419,9471,12345,7020,11319,12038,16633,23593,24284,28194,33457,35054,35786,36902,35400,33533,30047,26436,22505,18599,15315,12350,9903,8016,6048,4707,3888,2886,2011,1445,1003,709,501,787
AC,0,273,9158,13101,6609,11022,12104,16644,23712,23924,28155,33977,35075,35501,36976,35296,33520,30125,26012,22583,18709,15410,12585,10072,7950,6251,4979,3880,2829,2034,1330,1042,739,493,770
AP,0,161,6099,11612,6377,11032,11846,16687,23570,24247,28133,33691,35180,35914,36995,35542,33394,30207,26525,22403,18670,15545,12490,10065,7921,6019,4858,3809,2959,2108,1447,1080,740,525,940
AT,1,261,10119,12747,6744,10934,12127,16674,23515,24391,28310,33822,35226,36231,37592,35671,33352,30238,26243,22488,18500,15320,12290,10122,7726,6265,5016,3979,2855,2063,1553,1115,739,561,1035
AQ,1,258,8930,11901,7398,11527,12013,16707,23384,24215,27947,33509,35227,35493,37037,35776,33386,30066,26464,22616,18684,15049,12345,9884,7903,6161,4906,3904,2819,1985,1421,1023,678,473,711
AE,0,287,8864,11599,6935,11543,12063,16744,23572,24011,28471,33837,35153,35649,37101,35798,33228,30222,26525,22564,18481,15338,12548,9990,7926,6171,5058,3743,2860,1969,1470,1096,723,488,865
AH,2,282,8579,12459,6772,11568,11998,16722,23570,24190,28387,33858,35243,35831,36971,35687,33498,30461,26409,22492,18555,15351,12403,9995,7951,6133,4853,3790,2804,2027,1416,1013,713,480,956
AV,0,302,8536,11452,6500,11090,11894,16799,23535,24246,27976,34181,34999,36085,37094,35209,33237,30202,26502,22246,18773,15074,12303,9962,7838,6099,4765,3773,2900,1955,1451,1089,687,502,750
AR,0,292,8474,12134,6984,11633,12200,16977,23527,24261,28259,33782,35305,35620,36923,35189,33419,30513,26331,22589,18587,15254,12405,9938,7800,5975,4826,3742,2940,2045,1527,1018,732,488,784
AI,0,299,8481,11480,6397,11087,12072,16440,23318,24410,28073,33765,34717,35614,37086,35646,33290,30035,26359,22525,18510,15294,12429,9886,8020,6063,4907,3713,2794,1916,1391,1060,724,486,850
AL,1,257,8447,11518,6434,11152,12027,16800,23887,24447,28154,33717,35302,35755,37215,35645,33513,30117,26124,22441,18730,15392,12093,10045,7874,6104,4902,3731,2950,1948,1430,1069,670,444,751
AK,0,294,8541,11385,6716,11393,12241,16469,23557,24391,28311,33730,35130,35979,36678,35612,33534,30291,26381,22505,18579,15294,12335,9838,8037,6112,4793,3796,2874,2038,1476,1072,738,472,831
AM,0,244,8582,11579,6600,11117,12123,16613,23705,24208,28106,33933,34900,35796,36974,35590,33329,30406,26206,22628,18791,15211,12441,9989,7918,6163,4899,3828,2874,1991,1450,1092,748,526,872
AF,0,250,8257,11449,6553,10868,12045,16632,23667,24010,28093,33239,34921,35495,37217,35482,33489,30221,26573,22622,18689,15346,12445,10085,7870,6209,4996,3799,2862,2025,1569,1053,702,459,786
AW,1,291,8446,11369,6618,11436,12139,16632,23334,24072,28245,33748,34921,35699,37236,35985,33151,30379,26499,22553,18458,15068,12467,10090,7887,6101,4830,3752,2824,2066,1409,1057,701,477,741
AY,0,318,8427,11412,6542,11028,12322,17072,23426,24284,27956,33460,34708,35541,36849,35548,33481,30087,26610,22638,18630,15313,12223,9995,7837,6281,4824,3883,2874,2004,1445,1003,706,519,818
GG,0,178,4242,5750,3375,5694,6187,8567,11780,12177,14300,16884,17454,17990,18560,18045,16553,15254,13234,11449,9323,7625,6123,5086,4088,3169,2588,2030,1550,1036,790,612,455,337,644
GS,0,344,9985,12625,6639,11373,12348,16850,23766,24229,28506,33612,35343,35834,37546,35618,33583,30135,26414,22758,18559,15360,12365,10054,7653,6231,4930,3863,2906,1999,1476,1127,695,503,901
GN,1,366,9105,12338,7327,11230,12030,16798,23478,24497,28108,33886,35051,35809,37406,35770,33417,30184,26455,22856,18699,15299,12403,10058,7939,6196,4917,3947,2841,2077,1441,1087,727,548,1036
DG,0,460,9382,12412,7301,11173,12315,16855,23771,24241,28457,33997,35368,36039,37190,35727,33362,30169,25926,22448,18409,15229,12304,9805,7790,6126,4903,3969,2865,1975,1457,1078,697,515,945
CG,0,329,9195,12942,6674,11248,12201,16886,23746,24271,28341,33918,35158,35826,37160,35502,33242,30126,26101,22661,18526,15057,11989,9821,7893,5993,4761,3762,2809,1954,1386,995,708,467,775
GP,1,201,6051,11657,6382,11199,12002,16623,23790,24429,28578,33993,35101,36148,37246,35637,33538,30366,26019,22738,18828,15405,12580,10048,8043,6399,5080,3794,2979,2093,1489,1115,791,542,1090
GT,1,318,10034,12795,6513,11070,12162,16566,23514,24090,28222,33881,35047,36076,37140,35729,33373,30255,26336,22392,18503,15380,12429,9830,7797,6113,4860,3680,2852,1932,1353,991,626,453,731
GQ,0,322,8799,12007,7544,11804,12206,16978,23550,24388,28697,33627,35244,35779,37003,35673,33369,30001,26209,22488,18464,15173,12311,9760,7790,5938,4855,3768,2739,1916,1453,1023,647,450,680
EG,1,317,8937,11750,6961,11491,12167,16744,23705,24044,28195,34079,35161,35856,37142,35923,33456,30200,26240,22571,18511,15171,12216,9938,7864,6179,4841,3763,2891,2023,1465,994,730,505,855
GH,0,292,8582,12561,6800,11586,12068,16687,23433,24570,28034,33689,35016,35666,36916,35294,33272,30350,25957,22461,18548,15542,12546,10055,8031,6189,4897,3826,2870,2081,1502,1000,751,526,919
GV,0,337,8495,11500,6636,11203,11963,16678,23505,24186,28272,33505,35202,35899,37206,35439,33653,30401,26474,22595,18904,15462,12504,10235,7940,6398,5061,3936,3183,2235,1599,1233,856,571,1169
GR,0,321,8510,12331,7088,11778,12705,17150,23433,24226,28667,34206,35322,35497,37374,35635,33694,30086,26114,22476,18475,14887,12261,9743,7765,5979,4656,3820,2796,1989,1395,1042,742,503,748
GI,0,292,8280,11633,6440,11060,12145,16619,23725,24196,28354,33748,35008,35782,37346,35550,33097,30527,26228,22344,18664,15247,12283,9886,7952,6079,4893,3754,2769,2005,1407,1029,718,492,774
GL,0,271,8560,11452,6598,11270,12059,16631,23577,24017,28094,33634,34902,35694,37286,35489,33330,30253,26381,22552,18664,15089,12372,9928,7978,6309,4859,3805,2871,1937,1389,1016,711,484,832
